Date,Price Index
1947-06-01,28.9
1947-07-01,29.1
1947-08-01,28.9
1947-09-01,29.1
1947-10-01,29.3
1947-11-01,29.9
1947-12-01,30.0
1948-01-01,30.1
1948-02-01,30.7
1948-03-01,30.8
1948-04-01,31.2
1948-05-01,31.2
1948-06-01,31.7
1948-07-01,31.2
1948-08-01,31.2
1948-09-01,31.3
1948-10-01,31.3
1948-11-01,31.4
1948-12-01,31.5
1949-01-01,31.5
1949-02-01,31.6
1949-03-01,31.5
1949-04-01,31.4
1949-05-01,32.0
1949-06-01,32.1
1949-07-01,32.2
1949-08-01,32.2
1949-09-01,32.3
1949-10-01,32.5
1949-11-01,32.5
1949-12-01,32.6
1950-01-01,32.6
1950-02-01,32.7
1950-03-01,32.8
1950-04-01,32.9
1950-05-01,33.0
1950-06-01,32.9
1950-07-01,32.9
1950-08-01,32.7
1950-09-01,32.9
1950-10-01,33.3
1950-11-01,33.4
1950-12-01,33.6
1951-01-01,33.9
1951-02-01,34.2
1951-03-01,34.5
1951-04-01,35.0
1951-05-01,35.9
1951-06-01,36.0
1951-07-01,36.6
1951-08-01,36.7
1951-09-01,37.0
1951-10-01,37.2
1951-11-01,37.4
1951-12-01,37.7
1952-01-01,38.3
1952-02-01,38.4
1952-03-01,38.5
1952-04-01,39.2
1952-05-01,39.2
1952-06-01,39.8
1952-07-01,39.8
1952-08-01,39.5
1952-09-01,39.5
1952-10-01,39.8
1952-11-01,39.8
1952-12-01,40.0
1953-01-01,40.0
1953-02-01,40.1
1953-03-01,40.4
1953-04-01,40.8
1953-05-01,40.6
1953-06-01,40.8
1953-07-01,40.8
1953-08-01,40.6
1953-09-01,40.5
1953-10-01,40.5
1953-11-01,40.6
1953-12-01,40.5
1954-01-01,40.5
1954-02-01,40.5
1954-03-01,40.8
1954-04-01,41.0
1954-05-01,40.9
1954-06-01,41.1
1954-07-01,41.8
1954-08-01,41.5
1954-09-01,41.5
1954-10-01,41.7
1954-11-01,41.8
1954-12-01,42.1
1955-01-01,42.2
1955-02-01,42.2
1955-03-01,42.2
1955-04-01,42.5
1955-05-01,42.4
1955-06-01,43.3
1955-07-01,43.4
1955-08-01,43.1
1955-09-01,43.4
1955-10-01,43.8
1955-11-01,44.5
1955-12-01,44.5
1956-01-01,44.4
1956-02-01,44.4
1956-03-01,44.9
1956-04-01,45.6
1956-05-01,45.5
1956-06-01,45.4
1956-07-01,45.3
1956-08-01,45.4
1956-09-01,45.3
1956-10-01,45.6
1956-11-01,45.7
1956-12-01,45.9
1957-01-01,46.3
1957-02-01,46.3
1957-03-01,46.2
1957-04-01,46.4
1957-05-01,46.4
1957-06-01,46.9
1957-07-01,47.3
1957-08-01,47.2
1957-09-01,47.1
1957-10-01,47.5
1957-11-01,47.8
1957-12-01,48.0
1958-01-01,48.0
1958-02-01,47.7
1958-03-01,48.1
1958-04-01,48.6
1958-05-01,48.5
1958-06-01,48.9
1958-07-01,48.1
1958-08-01,48.1
1958-09-01,48.1
1958-10-01,48.5
1958-11-01,48.7
1958-12-01,48.9
1959-01-01,49.0
1959-02-01,48.9
1959-03-01,48.9
1959-04-01,48.6
1959-05-01,48.4
1959-06-01,48.5
1959-07-01,48.4
1959-08-01,48.5
1959-09-01,48.2
1959-10-01,48.5
1959-11-01,48.8
