Country,Country ID,Year,PPP
Belarus,BY,2024,0.817945059163395
Belarus,BY,2023,0.770194142278922
Belarus,BY,2022,0.738484639257185
Belarus,BY,2021,0.688632726669312
Belarus,BY,2020,0.641749382019043
Belarus,BY,2019,0.641350507736206
Belarus,BY,2018,0.647122502326965
Belarus,BY,2017,0.607136130332947
Belarus,BY,2016,0.562285911430173
Belarus,BY,2015,0.524063800819057
Belarus,BY,2014,0.447961900499018
Belarus,BY,2013,0.373530841732445
Belarus,BY,2012,0.320005868272162
Belarus,BY,2011,0.196053221821785
Belarus,BY,2010,0.117179961143461
Belarus,BY,2009,0.106523893944388
Belarus,BY,2008,0.0980983208934617
Belarus,BY,2007,0.0824894594753935
Belarus,BY,2006,0.0750618267142582
Belarus,BY,2005,0.0698668876291741
Belarus,BY,2004,0.0605667172673085
Belarus,BY,2003,0.0506992845547958
Belarus,BY,2002,0.0395608683100416
Belarus,BY,2001,0.027727659208474
Belarus,BY,2000,0.015791944543039
Belarus,BY,1999,0.00566077318599999
Belarus,BY,1998,0.00137739182031538
Belarus,BY,1997,0.000788802997020967
Belarus,BY,1996,0.000467467219201903
Belarus,BY,1995,0.000309681895814742
Belarus,BY,1994,0.0000415197988434674
Belarus,BY,1993,0.00000207290029832619
Belarus,BY,1992,0.000000183136982423128
Belarus,BY,1991,0.00000001656475497005
Belarus,BY,1990,0.00000000814013304784618
Belgium,BE,2024,0.704288
Belgium,BE,2023,0.703466
Belgium,BE,2022,0.698153
Belgium,BE,2021,0.719916
Belgium,BE,2020,0.716165
Belgium,BE,2019,0.735832
Belgium,BE,2018,0.766407
Belgium,BE,2017,0.775634
Belgium,BE,2016,0.781011
Belgium,BE,2015,0.799998
Belgium,BE,2014,0.800214
Belgium,BE,2013,0.806166
Belgium,BE,2012,0.822137
Belgium,BE,2011,0.831911
Belgium,BE,2010,0.83681
Belgium,BE,2009,0.849692
Belgium,BE,2008,0.86694
Belgium,BE,2007,0.878806
Belgium,BE,2006,0.874461
Belgium,BE,2005,0.891788
Belgium,BE,2004,0.88842
Belgium,BE,2003,0.876176
Belgium,BE,2002,0.8733
Belgium,BE,2001,0.892461
Belgium,BE,2000,0.899807
Belgium,BE,1999,0.931348
Belgium,BE,1998,0.935543
Belgium,BE,1997,0.927434
Belgium,BE,1996,0.92759
Belgium,BE,1995,0.92509
Belgium,BE,1994,0.933095
Belgium,BE,1993,0.933469
Belgium,BE,1992,0.918901
Belgium,BE,1991,0.908722
Belgium,BE,1990,0.913185
Turkiye,TR,2024,11.42387
Turkiye,TR,2023,7.420747
Turkiye,TR,2022,4.558344
Turkiye,TR,2021,2.751633
Turkiye,TR,2020,2.111056
Turkiye,TR,2019,1.837125
Turkiye,TR,2018,1.63261
Turkiye,TR,2017,1.38398
Turkiye,TR,2016,1.241052
Turkiye,TR,2015,1.162452
Turkiye,TR,2014,1.104504
Turkiye,TR,2013,1.070294
Turkiye,TR,2012,1.019856
Turkiye,TR,2011,0.966176
Turkiye,TR,2010,0.920571
Turkiye,TR,2009,0.904184
Turkiye,TR,2008,0.87996
Turkiye,TR,2007,0.851147
Turkiye,TR,2006,0.84199
Turkiye,TR,2005,0.834589
Turkiye,TR,2004,0.792256
Turkiye,TR,2003,0.7366
Turkiye,TR,2002,0.591251
Turkiye,TR,2001,0.414993
Turkiye,TR,2000,0.281534
Turkiye,TR,1999,0.196465
Turkiye,TR,1998,0.128864
Turkiye,TR,1997,0.055363
Turkiye,TR,1996,0.030965
Turkiye,TR,1995,0.017699
Turkiye,TR,1994,0.009653
Turkiye,TR,1993,0.004775
Turkiye,TR,1992,0.002914
Turkiye,TR,1991,0.00182
Turkiye,TR,1990,0.001185
Nicaragua,NI,2024,11.9751457059146
Nicaragua,NI,2023,11.4292696584472
Nicaragua,NI,2022,10.688165678174
Nicaragua,NI,2021,10.564323425293
Nicaragua,NI,2020,10.6103572845459
Nicaragua,NI,2019,10.8463048934937
Nicaragua,NI,2018,10.8195791244507
Nicaragua,NI,2017,10.5358943939209
Nicaragua,NI,2016,10.3718349580235
Nicaragua,NI,2015,10.3769956491351
Nicaragua,NI,2014,10.0315089647279
Nicaragua,NI,2013,9.63304348170275
Nicaragua,NI,2012,9.32214368308719
Nicaragua,NI,2011,8.70955848693848
Nicaragua,NI,2010,8.06538140339562
Nicaragua,NI,2009,7.6913002263926
Nicaragua,NI,2008,7.29819736838799
Nicaragua,NI,2007,6.4017785901677
Nicaragua,NI,2006,5.99524454724258
Nicaragua,NI,2005,5.72934803650865
Nicaragua,NI,2004,5.37830656803951
Nicaragua,NI,2003,5.06454675872118
Nicaragua,NI,2002,4.90314633397091
Nicaragua,NI,2001,4.82268198930552
Nicaragua,NI,2000,4.59828835300438
Nicaragua,NI,1999,4.33141008022532
Nicaragua,NI,1998,4.021656407428
Nicaragua,NI,1997,3.56652491077276
Nicaragua,NI,1996,3.30487711725361
Nicaragua,NI,1995,3.07041282143669
Nicaragua,NI,1994,2.76454327498369
Nicaragua,NI,1993,2.61977290107089
Nicaragua,NI,1992,2.22762174982729
Nicaragua,NI,1991,1.84238083395117
Nicaragua,NI,1990,0.062825882596756
Panama,PA,2024,0.463173466609024
Panama,PA,2023,0.472132500779136
Panama,PA,2022,0.478313001817018
Panama,PA,2021,0.501403868198395
Panama,PA,2020,0.491933196783066
Panama,PA,2019,0.495729207992554
Panama,PA,2018,0.497522056102753
Panama,PA,2017,0.46803081035614
Panama,PA,2016,0.489893443799203
Panama,PA,2015,0.516884225192376
