Name,IATA code,ICAO code
Aerospatiale (Nord) 262,ND2,N262
Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV,S210
Aerospatiale SN.601 Corvette,NDC,S601
Aerospatiale/Alenia ATR 42-300,AT4,AT43
Aerospatiale/Alenia ATR 42-500,AT5,AT45
Aerospatiale/Alenia ATR 42-600,ATR,AT46
Aerospatiale/Alenia ATR 72,AT7,AT72
Airbus A300,AB3,A30B
Airbus A300-600,AB6,A306
Airbus A300-600ST Super Transporter / Beluga,ABB,A3ST
Airbus A310,310,A310
Airbus A318,318,A318
Airbus A319,319,A319
Airbus A319neo,31N,A19N
Airbus A320,320,A320
Airbus A320neo,32N,A20N
Airbus A321,321,A321
Airbus A321neo,32Q,A21N
Airbus A330,330,\N
Airbus A330-200,332,A332
Airbus A330-300,333,A333
Airbus A330-700 Beluga XL,\N,A337
Airbus A330-800neo,338,A338
Airbus A330-900neo,339,A339
Airbus A340,340,\N
Airbus A340-200,342,A342
Airbus A340-300,343,A343
Airbus A340-500,345,A345
Airbus A340-600,346,A346
Airbus A350,350,\N
Airbus A350-1000,351,A35K
Airbus A350-900,359,A359
Airbus A380,380,\N
Airbus A380-800,388,A388
Antonov AN-12,ANF,AN12
Antonov AN-124 Ruslan,A4F,A124
Antonov AN-140,A40,A140
Antonov An-148,A81,A148
Antonov An-158,A58,A158
Antonov An-225 Mriya,A25,A225
Antonov AN-24,AN4,AN24
Antonov AN-26,A26,AN26
Antonov AN-28,A28,AN28
Antonov AN-30,A30,AN30
Antonov AN-32,A32,AN32
Antonov AN-72,AN7,AN72
Avro RJ100,AR1,RJ1H
Avro RJ70,AR7,RJ70
Avro RJ85,AR8,RJ85
BAe 146,146,\N
BAe 146-100,141,B461
BAe 146-200,142,B462
BAe 146-300,143,B463
Beechcraft 1900,BEH,B190
Beechcraft Baron,\N,BE58
Beechcraft Baron / 55 Baron,\N,BE55
Bell 212,BH2,B212
Boeing 707,703,B703
Boeing 717,717,B712
Boeing 720B,B72,B720
Boeing 727,727,\N
Boeing 727-100,721,B721
Boeing 727-200,722,B722
Boeing 737,737,\N
Boeing 737 MAX 10,7MJ,\N
Boeing 737 MAX 7,7M7,B37M
Boeing 737 MAX 8,7M8,B38M
Boeing 737 MAX 9,7M9,B39M
Boeing 737-200,732,B732
Boeing 737-300,733,B733
Boeing 737-400,734,B734
Boeing 737-500,735,B735
Boeing 737-600,736,B736
Boeing 737-700,73G,B737
Boeing 737-800,738,B738
Boeing 737-900,739,B739
Boeing 747,747,\N
Boeing 747 LCF Dreamlifter,74B,BLCF
Boeing 747-100,741,B741
Boeing 747-200,742,B742
Boeing 747-300,743,B743
Boeing 747-400,744,B744
Boeing 747-400D,74J,B74D
Boeing 747-8,748,B748
Boeing 747SP,74L,B74S
Boeing 747SR,74R,B74R
Boeing 757,757,\N
Boeing 757-200,752,B752
Boeing 757-300,753,B753
Boeing 767,767,\N
Boeing 767-200,762,B762
Boeing 767-300,763,B763
Boeing 767-400,764,B764
Boeing 777,777,\N
Boeing 777-200,772,B772
Boeing 777-200LR,77L,B77L
Boeing 777-300,773,B773
Boeing 777-300ER,77W,B77W
Boeing 777-8,778,B778
Boeing 777-9,779,B779
Boeing 787,787,\N
Boeing 787-10,78J,B78X
Boeing 787-8,788,B788
Boeing 787-9,789,B789
Bombardier 415,\N,CL2T
Bombardier BD-100 Challenger 300,\N,CL30
Bombardier CS100,CS1,BCS1
Bombardier CS300,CS3,BCS3
Bombardier Global Express,CCX,GLEX
British Aerospace (BAC) One Eleven,B11,BA11
British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,H25,H25B
British Aerospace 125-1000 series / Hawker/Raytheon 1000,H25,H25C
British Aerospace ATP,ATP,ATP
British Aerospace Jetstream 31,J31,JS31
British Aerospace Jetstream 32,J32,JS32
British Aerospace Jetstream 41,J41,JS41
Canadair Challenger,CCJ,CL60
Canadair CL-44,CL4,CL44
Canadair Regional Jet 100,CR1,CRJ1
Canadair Regional Jet 1000,CRK,CRJX
Canadair Regional Jet 200,CR2,CRJ2
Canadair Regional Jet 700,CR7,CRJ7
Canadair Regional Jet 900,CR9,CRJ9
Cessna 152,\N,C152
Cessna 172,CN1,C172
Cessna 182 Skylane,CN1,C182
Cessna 208 Caravan,CN1,C208
Cessna 210 Centurion,CN1,C210
Cessna Citation CJ3,CNJ,C25B
Cessna Citation CJ4,CNJ,C25C
Cessna Citation Excel,CNJ,C56X
Cessna Citation I,CNJ,C500
Cessna Citation II,CNJ,C550
Cessna Citation Mustang,CNJ,C510
Cessna Citation Sovereign,CNJ,C680
Cessna Citation X,CNJ,C750
COMAC C-919,\N,C919
Concorde,SSC,CONC
Dassault Falcon 2000,D20,F2TH
Dassault Falcon 50,DF3,FA50
Dassault Falcon 7X,DF7,FA7X
Dassault Falcon 900,DF9,F900
De Havilland Canada DHC-2 Beaver,DHP,DHC2
De Havilland Canada DHC-2 Turbo-Beaver,DHR,DH2T
De Havilland Canada DHC-3 Otter,DHL,DHC3
De Havilland Canada DHC-4 Caribou,DHC,DHC4
De Havilland Canada DHC-6 Twin Otter,DHT,DHC6
De Havilland Canada DHC-7 Dash 7,DH7,DHC7
De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1,DH8A
De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2,DH8B
