Entity,Year,Caloric Coefficient Variation (CV) (FAO Food Security Indicators (2017))
Afghanistan,2000,0.32
Afghanistan,2001,0.31
Afghanistan,2002,0.3
Afghanistan,2003,0.29
Afghanistan,2004,0.28
Afghanistan,2005,0.27
Afghanistan,2006,0.26
Afghanistan,2007,0.25
Afghanistan,2008,0.24
Afghanistan,2009,0.25
Afghanistan,2010,0.25
Afghanistan,2011,0.26
Afghanistan,2012,0.27
Afghanistan,2013,0.28
Afghanistan,2014,0.29
Afghanistan,2015,0.3
Afghanistan,2016,0.31
Afghanistan,2017,0.31
Afghanistan,2018,0.32
Afghanistan,2019,0.33
Afghanistan,2020,0.37
Albania,2000,0.24
Albania,2001,0.25
Albania,2002,0.26
Albania,2003,0.27
Albania,2004,0.28
Albania,2005,0.29
Albania,2006,0.29
Albania,2007,0.29
Albania,2008,0.29
Albania,2009,0.29
Albania,2010,0.29
Albania,2011,0.29
Albania,2012,0.29
Albania,2013,0.29
Albania,2014,0.29
Albania,2015,0.29
Albania,2016,0.29
Albania,2017,0.29
Albania,2018,0.3
Albania,2019,0.29
Albania,2020,0.29
Algeria,2000,0.3
Algeria,2001,0.3
Algeria,2002,0.3
Algeria,2003,0.3
Algeria,2004,0.3
Algeria,2005,0.3
Algeria,2006,0.3
Algeria,2007,0.3
Algeria,2008,0.3
Algeria,2009,0.3
Algeria,2010,0.3
Algeria,2011,0.3
Algeria,2012,0.3
Algeria,2013,0.3
Algeria,2014,0.3
Algeria,2015,0.3
Algeria,2016,0.3
Algeria,2017,0.3
Algeria,2018,0.29
Algeria,2019,0.29
Algeria,2020,0.29
Angola,2000,0.3
Angola,2001,0.3
Angola,2002,0.3
Angola,2003,0.3
Angola,2004,0.3
Angola,2005,0.3
Angola,2006,0.3
Angola,2007,0.3
Angola,2008,0.3
Angola,2009,0.3
Angola,2010,0.3
Angola,2011,0.3
Angola,2012,0.3
Angola,2013,0.3
Angola,2014,0.3
Angola,2015,0.3
Angola,2016,0.3
Angola,2017,0.3
Angola,2018,0.3
Angola,2019,0.31
Angola,2020,0.35
Antigua and Barbuda,2000,0.24
Antigua and Barbuda,2001,0.24
Antigua and Barbuda,2002,0.24
Antigua and Barbuda,2003,0.24
Antigua and Barbuda,2004,0.24
Antigua and Barbuda,2005,0.24
Antigua and Barbuda,2006,0.24
Antigua and Barbuda,2007,0.24
Antigua and Barbuda,2008,0.24
Antigua and Barbuda,2009,0.24
Antigua and Barbuda,2010,0.24
Antigua and Barbuda,2011,0.24
Antigua and Barbuda,2012,0.24
Antigua and Barbuda,2013,0.24
Antigua and Barbuda,2014,0.24
Antigua and Barbuda,2015,0.24
Antigua and Barbuda,2016,0.24
Antigua and Barbuda,2017,0.24
Antigua and Barbuda,2018,0.24
Antigua and Barbuda,2019,0.24
Antigua and Barbuda,2020,0.24
Argentina,2000,0.25
Argentina,2001,0.25
Argentina,2002,0.25
Argentina,2003,0.25
Argentina,2004,0.25
Argentina,2005,0.25
Argentina,2006,0.25
Argentina,2007,0.25
Argentina,2008,0.25
Argentina,2009,0.25
Argentina,2010,0.25
Argentina,2011,0.25
Argentina,2012,0.25
Argentina,2013,0.25
Argentina,2014,0.25
Argentina,2015,0.25
Argentina,2016,0.26
Argentina,2017,0.27
Argentina,2018,0.28
Argentina,2019,0.28
Argentina,2020,0.29
Armenia,2000,0.22
Armenia,2001,0.23
Armenia,2002,0.24
Armenia,2003,0.26
Armenia,2004,0.27
Armenia,2005,0.26
Armenia,2006,0.25
Armenia,2007,0.25
Armenia,2008,0.24
Armenia,2009,0.23
Armenia,2010,0.22
Armenia,2011,0.21
Armenia,2012,0.23
Armenia,2013,0.23
Armenia,2014,0.23
Armenia,2015,0.23
Armenia,2016,0.23
Armenia,2017,0.23
Armenia,2018,0.23
Armenia,2019,0.23
Armenia,2020,0.23
Australia,2000,0.2
Australia,2001,0.2
Australia,2002,0.2
